Choice,Composite,Type,InstCode,Institute,BranchCode,Branch,PwDseat,Reach,Note
169,77.05,NIT,206,National Institute of Technology Calicut,5A09,B. Tech. (Mathematics & Computing) M. Tech. in (Mathematics & Computing),Y,No-data,
170,77.05,NIT,206,National Institute of Technology Calicut,4198,Energy Engineering,Y,Good,
171,77.05,GFTI,402,"Birla Institute of Technology, Mesra, Ranchi",410W,Computer Science and Engineering (Artificial Intelligence and Machine Learning),Y,No-data,
172,77.0,NIT,223,"National Institute of Technology, Rourkela",4127,Metallurgical and Materials Engineering,Y,Good,
173,77.0,NIT,223,"National Institute of Technology, Rourkela",5243,Metallurgical and Materials Engineering,-,Out,
174,76.75,NIT,202,Malaviya National Institute of Technology Jaipur,4109,Civil Engineering,Y,Reach,
175,76.75,IIIT,307,"Indian Institute of Information Technology (IIIT), Sri City, Chittoor",4114,Electronics and Communication Engineering,Y,SAFE,
176,76.75,IIIT,316,Indian Institute of Information Technology(IIIT) Dharwad,4110,Computer Science and Engineering,Y,SAFE,
177,76.7,NIT,219,"National Institute of Technology, Jamshedpur",4125,Mechanical Engineering,Y,SAFE,
178,76.7,IIIT,315,Indian Institute of Information Technology Lucknow,4146,Information Technology,Y,Out,
179,76.25,NIT,206,National Institute of Technology Calicut,4123,Materials Science and Engineering,Y,Good,
180,76.25,GFTI,402,"Birla Institute of Technology, Mesra, Ranchi",5511,Quantitative Economics & Data Science,Y,Out,
181,76.2,NIT,223,"National Institute of Technology, Rourkela",5101,Architecture,-,Out,
182,76.15,IIIT,301,Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,4144,Electrical and Electronics Engineering,Y,Good,
183,76.05,IIIT,321,Indian Institute of Information Technology (IIIT) Pune,413X,Microelectronics and VLSI Design,Y,No-data,
184,76.0,NIT,204,Motilal Nehru National Institute of Technology Allahabad,4109,Civil Engineering,Y,Reach,
185,76.0,IIIT,320,Indian Institute of Information Technology (IIIT) Nagpur,4114,Electronics and Communication Engineering,Y,SAFE,
186,76.0,IIIT,320,Indian Institute of Information Technology (IIIT) Nagpur,410H,Electronics and Communication Engineering (Internet of Things),Y,SAFE,
187,76.0,IIIT,318,Indian Institute of Information Technology(IIIT) Kottayam,4110,Computer Science and Engineering,Y,SAFE,
188,76.0,IIIT,318,Indian Institute of Information Technology(IIIT) Kottayam,4195,Computer Science and Engineering with specialization in Cyber Security,Y,SAFE,
189,75.95,NIT,224,"National Institute of Technology, Silchar",4125,Mechanical Engineering,Y,SAFE,
190,75.85,NIT,220,"National Institute of Technology, Kurukshetra",411C,Industrial Internet of Things,Y,Good,
191,75.85,NIT,220,"National Institute of Technology, Kurukshetra",4136,Production and Industrial Engineering,Y,SAFE,
192,75.75,NIT,211,"National Institute of Technology Karnataka, Surathkal",4130,Mining Engineering,-,Out,
193,75.75,NIT,208,National Institute of Technology Durgapur,4107,Chemical Engineering,Y,SAFE,
194,75.75,NIT,208,National Institute of Technology Durgapur,5257,Chemical Engineering,-,Out,
195,75.5,NIT,230,"Visvesvaraya National Institute of Technology, Nagpur",4127,Metallurgical and Materials Engineering,Y,SAFE,
196,75.5,IIIT,302,"Indian Institute of Information Technology (IIIT)Kota, Rajasthan",411G,Artificial Intelligence and Data Engineering,Y,SAFE,
197,75.45,NIT,206,National Institute of Technology Calicut,5101,Architecture,Y,Out,
198,75.45,GFTI,402,"Birla Institute of Technology, Mesra, Ranchi",5506,Mathematics and Computing,Y,SAFE,
199,75.25,NIT,228,"National Institute of Technology, Warangal",4104,Bio Technology,Y,Reach,
200,75.25,NIT,229,"Sardar Vallabhbhai National Institute of Technology, Surat",4109,Civil Engineering,Y,Good,
201,75.25,IIIT,321,Indian Institute of Information Technology (IIIT) Pune,4114,Electronics and Communication Engineering,Y,Good,
202,75.25,IIIT,314,Indian Institute of Information Technology Tiruchirappalli,4110,Computer Science and Engineering,Y,Good,
203,75.1,NIT,219,"National Institute of Technology, Jamshedpur",4136,Production and Industrial Engineering,Y,SAFE,
204,75.0,NIT,223,"National Institute of Technology, Rourkela",4130,Mining Engineering,-,Out,
205,75.0,NIT,223,"National Institute of Technology, Rourkela",5247,Mining Engineering,-,Out,
206,75.0,NIT,203,Maulana Azad National Institute of Technology Bhopal,4107,Chemical Engineering,Y,SAFE,
207,74.8,NIT,204,Motilal Nehru National Institute of Technology Allahabad,4192,Engineering and Computational Mechanics,Y,Out,
208,74.8,IIIT,318,Indian Institute of Information Technology(IIIT) Kottayam,410R,Computer Science and Engineering with specialization in Artificial Intelligence and Data Science,Y,SAFE,
209,74.75,NIT,202,Malaviya National Institute of Technology Jaipur,4127,Metallurgical and Materials Engineering,Y,Good,
210,74.75,IIIT,316,Indian Institute of Information Technology(IIIT) Dharwad,413T,Artificial Intelligence and Computing,Y,No-data,
211,74.75,IIIT,316,Indian Institute of Information Technology(IIIT) Dharwad,4181,Data Science and Artificial Intelligence,Y,SAFE,
212,74.7,NIT,230,"Visvesvaraya National Institute of Technology, Nagpur",5101,Architecture,Y,Out,
213,74.65,GFTI,422,"Punjab Engineering College, Chandigarh",4111,Electrical Engineering,Y,No-data,
214,74.5,NIT,232,"Indian Institute of Engineering Science and Technology, Shibpur",4109,Civil Engineering,Y,SAFE,
215,74.5,IIIT,308,"Indian Institute of Information Technology(IIIT), Vadodara, Gujrat",4114,Electronics and Communication Engineering,Y,SAFE,
216,74.5,NIT,201,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",4110,Computer Science and Engineering,Y,Out,
217,74.05,IIIT,314,Indian Institute of Information Technology Tiruchirappalli,412F,Computer Science and Engineering ( Artificial Intelligence & Data Science),Y,Reach,
218,74.0,NIT,204,Motilal Nehru National Institute of Technology Allahabad,412H,Materials Engineering,Y,No-data,
219,73.95,NIT,202,Malaviya National Institute of Technology Jaipur,5101,Architecture,Y,Out,
220,73.75,NIT,208,National Institute of Technology Durgapur,4109,Civil Engineering,Y,SAFE,
221,73.75,NIT,207,National Institute of Technology Delhi,4114,Electronics and Communication Engineering,Y,Out,
222,73.75,NIT,231,"National Institute of Technology, Andhra Pradesh",4110,Computer Science and Engineering,Y,Out,
223,73.7,IIIT,311,"Pt. Dwarka Prasad Mishra Indian Institute of Information Technology, Design & Manufacture Jabalpur",4125,Mechanical Engineering,Y,SAFE,
224,73.7,IIIT,308,"Indian Institute of Information Technology(IIIT), Vadodara, Gujrat",4146,Information Technology,Y,SAFE,
225,73.5,NIT,230,"Visvesvaraya National Institute of Technology, Nagpur",4130,Mining Engineering,-,Out,
226,73.3,NIT,232,"Indian Institute of Engineering Science and Technology, Shibpur",4101,Aerospace Engineering,Y,Good,
227,73.3,NIT,232,"Indian Institute of Engineering Science and Technology, Shibpur",5501,Applied Geology,Y,No-data,
228,73.25,NIT,228,"National Institute of Technology, Warangal",5503,Chemistry,Y,Good,
229,73.25,NIT,228,"National Institute of Technology, Warangal",5508,Mathematics,Y,Good,
230,73.25,NIT,228,"National Institute of Technology, Warangal",5507,Physics,Y,Out,
231,73.2,IIIT,318,Indian Institute of Information Technology(IIIT) Kottayam,411F,B.Tech in Mathematics and Computing,Y,No-data,
232,73.0,NIT,223,"National Institute of Technology, Rourkela",4152,Bio Medical Engineering,-,Out,
233,73.0,NIT,223,"National Institute of Technology, Rourkela",4104,Bio Technology,Y,Good,
234,73.0,NIT,203,Maulana Azad National Institute of Technology Bhopal,4109,Civil Engineering,Y,Good,
235,73.0,NIT,216,National Institute of Technology Raipur,4114,Electronics and Communication Engineering,Y,Reach,
236,73.0,NIT,210,National Institute of Technology Hamirpur,4110,Computer Science and Engineering,Y,Out,
237,73.0,NIT,210,National Institute of Technology Hamirpur,5216,Computer Science and Engineering,Y,Reach,
238,72.5,NIT,232,"Indian Institute of Engineering Science and Technology, Shibpur",4156,Metallurgy and Materials Engineering,Y,SAFE,
239,72.5,NIT,201,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",4185,Artificial Intelligence,Y,No-data,
240,72.5,NIT,201,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",4187,Data Science and Engineering,Y,Reach,
241,72.25,NIT,206,National Institute of Technology Calicut,4104,Bio Technology,Y,Reach,
242,72.25,NIT,220,"National Institute of Technology, Kurukshetra",4109,Civil Engineering,Y,SAFE,
243,72.25,NIT,220,"National Institute of Technology, Kurukshetra",5213,Civil Engineering,Y,Out,
244,72.25,GFTI,402,"Birla Institute of Technology, Mesra, Ranchi",4114,Electronics and Communication Engineering,Y,SAFE,
245,72.25,NIT,215,National Institute of Technology Puducherry,4110,Computer Science and Engineering,Y,Out,
246,72.2,IIIT,310,"Indian Institute of Information Technology, Design & Manufacturing, Kancheepuram",5A11,B.Tech in Mechanical Engineering and M.Tech in AI and Robotics,Y,SAFE,
