Choice,Type,InstCode,Institute,BranchCode,Branch,PwDseat,HisQuota,Reach,OBC-PwD_close,Gen-PwD_close
181,NIT,220,"National Institute of Technology, Kurukshetra",5213,Civil Engineering,Y,OS,Out,,
182,NIT,220,"National Institute of Technology, Kurukshetra",5101,Architecture,Y,OS,Out,,184
183,NIT,220,"National Institute of Technology, Kurukshetra",412A,ROBOTICS & AUTOMATION,Y,OS,Reach,366,720
184,NIT,220,"National Institute of Technology, Kurukshetra",412D,SUSTAINABLE ENERGY TECHNOLOGIES,Y,OS,Out,,
185,NIT,219,"National Institute of Technology, Jamshedpur",4110,Computer Science and Engineering,Y,OS,Out,114,294
186,NIT,219,"National Institute of Technology, Jamshedpur",4114,Electronics and Communication Engineering,Y,OS,Borderline,390,
187,NIT,219,"National Institute of Technology, Jamshedpur",4111,Electrical Engineering,Y,OS,Good,539,275
188,NIT,219,"National Institute of Technology, Jamshedpur",4125,Mechanical Engineering,Y,OS,SAFE,1415,1148
189,NIT,219,"National Institute of Technology, Jamshedpur",4136,Production and Industrial Engineering,Y,OS,SAFE,,2482
190,NIT,219,"National Institute of Technology, Jamshedpur",4109,Civil Engineering,Y,OS,Reach,,928
191,NIT,219,"National Institute of Technology, Jamshedpur",4127,Metallurgical and Materials Engineering,Y,OS,Out,,
192,NIT,219,"National Institute of Technology, Jamshedpur",4192,Engineering and Computational Mechanics,Y,OS,Out,,
193,NIT,224,"National Institute of Technology, Silchar",4110,Computer Science and Engineering,Y,OS,Out,220,259
194,NIT,224,"National Institute of Technology, Silchar",4114,Electronics and Communication Engineering,Y,OS,Borderline,391,970
195,NIT,224,"National Institute of Technology, Silchar",4142,Electronics and Instrumentation Engineering,Y,OS,Good,,1439
196,NIT,224,"National Institute of Technology, Silchar",4111,Electrical Engineering,Y,OS,Good,769,1698
197,NIT,224,"National Institute of Technology, Silchar",4125,Mechanical Engineering,Y,OS,SAFE,1335,1298
198,NIT,224,"National Institute of Technology, Silchar",4109,Civil Engineering,Y,OS,SAFE,1369,2581
199,IIIT,309,"Indian Institute of Information Technology, Allahabad",4114,Electronics and Communication Engineering,Y,AI,Reach,288,524
200,IIIT,309,"Indian Institute of Information Technology, Allahabad",5234,Electronics and Communication Engineering,-,AI,No-data,,
201,IIIT,309,"Indian Institute of Information Technology, Allahabad",5424,B. Tech. Information Technology-Business Informatics (IT- BIn) - Master of Business Administration (MBA),-,AI,No-data,,
202,IIIT,309,"Indian Institute of Information Technology, Allahabad",4146,Information Technology,Y,AI,Out,210,255
203,IIIT,309,"Indian Institute of Information Technology, Allahabad",5280,Information Technology,Y,AI,No-data,,
204,IIIT,309,"Indian Institute of Information Technology, Allahabad",4186,Information Technology-Business Informatics,Y,AI,Out,198,210
205,IIIT,311,"Pt. Dwarka Prasad Mishra Indian Institute of Information Technology, Design & Manufacture Jabalpur",4110,Computer Science and Engineering,Y,AI,Reach,330,675
206,IIIT,311,"Pt. Dwarka Prasad Mishra Indian Institute of Information Technology, Design & Manufacture Jabalpur",4114,Electronics and Communication Engineering,Y,AI,Good,672,1101
207,IIIT,311,"Pt. Dwarka Prasad Mishra Indian Institute of Information Technology, Design & Manufacture Jabalpur",4125,Mechanical Engineering,Y,AI,SAFE,1379,2071
208,IIIT,311,"Pt. Dwarka Prasad Mishra Indian Institute of Information Technology, Design & Manufacture Jabalpur",4176,Smart Manufacturing,Y,AI,SAFE,1442,2610
209,IIIT,301,Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,4110,Computer Science and Engineering,Y,AI,Out,229,129
210,IIIT,301,Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,4144,Electrical and Electronics Engineering,Y,AI,Good,639,748
211,IIIT,301,Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,411M,Mathematics and Scientific Computing,Y,AI,Good,631,629
212,IIIT,301,Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,5B01,Integrated B. Tech.(IT) and M. Tech (IT),Y,AI,Reach,345,371
213,IIIT,301,Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,5C01,Integrated B. Tech.(IT) and MBA,Y,AI,Good,746,305
214,IIIT,310,"Indian Institute of Information Technology, Design & Manufacturing, Kancheepuram",4110,Computer Science and Engineering,Y,AI,Out,208,458
215,IIIT,310,"Indian Institute of Information Technology, Design & Manufacturing, Kancheepuram",5216,Computer Science and Engineering,Y,AI,Reach,313,688
216,IIIT,310,"Indian Institute of Information Technology, Design & Manufacturing, Kancheepuram",4196,Computer Science and Engineering with Major in Artificial Intelligence,Y,AI,Out,267,363
217,IIIT,310,"Indian Institute of Information Technology, Design & Manufacturing, Kancheepuram",523T,B.Tech. in Electronics and Communication Engineering and M.Tech. in Microelectronics and VLSI Systems,Y,AI,Good,,1371
218,IIIT,310,"Indian Institute of Information Technology, Design & Manufacturing, Kancheepuram",521Q,B.Tech. in Electronics and Communication Engineering and M.Tech. in Communication Systems,Y,AI,SAFE,1165,2109
219,IIIT,310,"Indian Institute of Information Technology, Design & Manufacturing, Kancheepuram",4114,Electronics and Communication Engineering,Y,AI,Good,494,874
220,IIIT,310,"Indian Institute of Information Technology, Design & Manufacturing, Kancheepuram",5A11,B.Tech in Mechanical Engineering and M.Tech in AI and Robotics,Y,AI,SAFE,902,1581
221,IIIT,310,"Indian Institute of Information Technology, Design & Manufacturing, Kancheepuram",4125,Mechanical Engineering,Y,AI,Good,619,1324
222,IIIT,310,"Indian Institute of Information Technology, Design & Manufacturing, Kancheepuram",413C,Design Engineering,Y,AI,SAFE,,2217
223,IIIT,310,"Indian Institute of Information Technology, Design & Manufacturing, Kancheepuram",4176,Smart Manufacturing,Y,AI,SAFE,887,1957
224,IIIT,310,"Indian Institute of Information Technology, Design & Manufacturing, Kancheepuram",4117,Engineering Physics,Y,AI,Out,,
225,GFTI,422,"Punjab Engineering College, Chandigarh",4110,Computer Science and Engineering,Y,AI,No-data,,
226,GFTI,422,"Punjab Engineering College, Chandigarh",4603,Computer Science Engineering (Artificial Intelligence),Y,AI,No-data,,
227,GFTI,422,"Punjab Engineering College, Chandigarh",4604,Computer Science Engineering (Data Science),Y,AI,No-data,,
228,GFTI,422,"Punjab Engineering College, Chandigarh",4124,Mathematics and Computing,Y,AI,No-data,,
229,GFTI,422,"Punjab Engineering College, Chandigarh",4114,Electronics and Communication Engineering,Y,AI,No-data,,
230,GFTI,422,"Punjab Engineering College, Chandigarh",411H,Electronics Engineering (VLSI Design and Technology),Y,AI,No-data,,
231,GFTI,422,"Punjab Engineering College, Chandigarh",4111,Electrical Engineering,Y,AI,No-data,,
232,GFTI,422,"Punjab Engineering College, Chandigarh",4125,Mechanical Engineering,Y,AI,No-data,,
233,GFTI,422,"Punjab Engineering College, Chandigarh",4136,Production and Industrial Engineering,Y,AI,No-data,,
234,GFTI,422,"Punjab Engineering College, Chandigarh",4109,Civil Engineering,Y,AI,No-data,,
235,GFTI,422,"Punjab Engineering College, Chandigarh",4127,Metallurgical and Materials Engineering,Y,AI,No-data,,
236,GFTI,422,"Punjab Engineering College, Chandigarh",4101,Aerospace Engineering,Y,AI,No-data,,
237,IIIT,315,Indian Institute of Information Technology Lucknow,4184,Computer Science,Y,AI,Reach,362,346
238,IIIT,315,Indian Institute of Information Technology Lucknow,410C,Computer Science and Business,Y,AI,Borderline,459,359
239,IIIT,315,Indian Institute of Information Technology Lucknow,4190,Computer Science and Artificial Intelligence,Y,AI,Borderline,451,222
240,IIIT,315,Indian Institute of Information Technology Lucknow,4146,Information Technology,Y,AI,Out,236,364
241,IIIT,307,"Indian Institute of Information Technology (IIIT), Sri City, Chittoor",4110,Computer Science and Engineering,Y,AI,SAFE,1224,1377
242,IIIT,307,"Indian Institute of Information Technology (IIIT), Sri City, Chittoor",4188,Artificial Intelligence and Data Science,Y,AI,SAFE,1180,378
