Rank,Type,Institute,Branch,Avg General-GN close,2023,2024,2025
214,IIIT,Indian Institute of Information Technology Tiruchirappalli,Computer Science and Engineering ( Artificial Intelligence & Data Science),27113,,,27113
215,NIT,National Institute of Technology Raipur,Electrical Engineering,27180,27264,26898,27378
216,IIIT,Indian Institute of Information Technology Bhopal,Computer Science and Engineering (Artificial Intelligence),27359,,,27359
217,NIT,National Institute of Technology Delhi,Civil Engineering,27422,27574,27045,27647
218,IIIT,Indian Institute of Information Technology (IIIT) Nagpur,Computer Science Engineering (Artificial lntelligence and Machine Learning),27501,27645,27105,27752
219,NIT,National Institute of Technology Calicut,Chemical Engineering,27508,30047,26194,26282
220,NIT,National Institute of Technology Agartala,Electronics and Communication Engineering,27850,27635,27158,28758
221,GFTI,"Birla Institute of Technology, Mesra, Ranchi",Electronics and Communication Engineering,27857,27182,27924,28464
222,NIT,"National Institute of Technology, Warangal",Metallurgical and Materials Engineering,27906,27512,28135,28071
223,IIIT,Indian Institute of Information Technology (IIIT) Nagpur,Computer Science and Engineering,27922,27288,27356,29123
224,GFTI,Shri G. S. Institute of Technology and Science Indore,Computer Science and Engineering,27947,,,27947
225,NIT,"National Institute of Technology, Warangal",Metallurgical and Materials Engineering,28114,,,28114
226,NIT,"National Institute of Technology, Rourkela",Industrial Design,28572,32085,29601,24030
227,IIIT,"Indian Institute of Information Technology (IIIT), Sri City, Chittoor",Artificial Intelligence and Data Science,28650,30151,28509,27291
228,IIIT,"Indian Institute of Information Technology (IIIT)Kota, Rajasthan",Artificial Intelligence and Data Engineering,28668,,27124,30212
229,NIT,"Sardar Vallabhbhai National Institute of Technology, Surat",Mechanical Engineering,28677,30985,27163,27882
230,IIIT,Indian Institute of Information Technology Tiruchirappalli,Computer Science and Engineering,28842,28888,29303,28335
231,NIT,"National Institute of Technology Karnataka, Surathkal",Mining Engineering,28861,30068,27766,28750
232,IIIT,"Indian Institute of Information Technology(IIIT) Kilohrad, Sonepat, Haryana",Computer Science and Engineering,29024,25572,28994,32506
233,NIT,"National Institute of Technology, Jamshedpur",Mechanical Engineering,29067,29510,29147,28545
234,NIT,"National Institute of Technology, Rourkela",Mathematics,29108,33880,28659,24786
235,NIT,"National Institute of Technology, Srinagar",Information Technology,29160,27732,26370,33379
236,NIT,National Institute of Technology Patna,Electrical Engineering with Specialization In Power System Engineering,29177,29092,27448,30990
237,GFTI,"Jawaharlal Nehru University, Delhi",Computer Science and Engineering,29286,28520,27936,31402
238,NIT,"Indian Institute of Engineering Science and Technology, Shibpur",Electrical Engineering,29322,28582,28389,30994
239,IIIT,Indian Institute of Information Technology (IIIT) Nagpur,Computer Science Engineering (Data Science and Analytics),29378,28893,28763,30477
240,NIT,National Institute of Technology Arunachal Pradesh,Computer Science and Engineering,29403,29087,28514,30607
241,IIIT,Indian Institute of Information Technology Surat,Computer Science and Engineering (Cyber Security),29537,,,29537
242,IIIT,"Indian Institute of Information Technology(IIIT) Una, Himachal Pradesh",Computer Science and Engineering,29621,27059,28335,33468
243,IIIT,Indian Institute of Information Technology Bhopal,Computer Science and Engineering (Cyber Security),29714,,27858,31569
244,NIT,National Institute of Technology Durgapur,Mechanical Engineering,29745,32121,27957,29158
245,IIIT,"Indian Institute of Information Technology(IIIT), Vadodara, Gujrat",Artificial Intelligence,29856,,,29856
246,NIT,National Institute of Technology Meghalaya,Electronics and Communication Engineering,29996,29028,29484,31476
247,IIIT,"Indian Institute of Information Technology, Design & Manufacturing, Kancheepuram",B.Tech. in Electronics and Communication Engineering and M.Tech. in VLSI Design,30045,32242,27848,
248,NIT,"National Institute of Technology, Rourkela",Metallurgical and Materials Engineering,30623,33055,28678,30135
249,IIIT,Indian Institute of Information Technology Bhopal,Computer Science and Engineering (Cyber Physical System),30659,,30659,
250,NIT,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Instrumentation and Control Engineering,30695,33381,30740,27963
251,NIT,"National Institute of Technology, Warangal",Bio Technology,30732,31192,30707,30296
252,NIT,"Visvesvaraya National Institute of Technology, Nagpur",Chemical Engineering,30829,33172,28900,30416
253,NIT,Maulana Azad National Institute of Technology Bhopal,Mechanical Engineering,30912,33129,29993,29613
254,GFTI,"International Institute of Information Technology, Bhubaneswar",Computer Science and Engineering,31011,28199,31001,33833
255,NIT,"National Institute of Technology, Manipur",Computer Science and Engineering,31118,29644,30611,33098
256,IIIT,Indian Institute of Information Technology Guwahati,Electronics and Communication Engineering,31166,32508,30437,30554
257,NIT,Motilal Nehru National Institute of Technology Allahabad,Civil Engineering,31359,33065,29422,31589
258,IIIT,Indian Institute of Information Technology (IIIT) Nagpur,Computer Science Engineering (Human Computer lnteraction and Gaming Technology),31479,30142,30403,33893
259,NIT,National Institute of Technology Sikkim,Artificial Intelligence and Machine Learning,31484,,33955,29014
260,IIIT,"Indian Institute of Information Technology, Design & Manufacturing, Kancheepuram",B.Tech. in Electronics and Communication Engineering and M.Tech. in Communication Systems,31554,33695,32117,28850
261,GFTI,"International Institute of Information Technology, Naya Raipur",Electronics and Communication Engineering,31757,33005,31363,30902
262,IIIT,Indian Institute of Information Technology Bhopal,Information Technology,31836,28824,30065,36619
263,NIT,"National Institute of Technology, Rourkela",Bio Technology,31986,34235,29495,32227
264,IIIT,"Indian Institute of Information Technology(IIIT) Una, Himachal Pradesh",Information Technology,32003,30983,33023,
265,IIIT,Indian Institute of Information Technology(IIIT) Kottayam,Computer Science and Engineering with specialization in Artificial Intelligence and Data Science,32008,30516,32727,32780
266,NIT,National Institute of Technology Puducherry,Electrical and Electronics Engineering,32043,33327,29032,33769
267,NIT,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Mechanical Engineering,32093,33152,30878,32249
268,IIIT,"Indian Institute of Information Technology(IIIT) Kilohrad, Sonepat, Haryana",Information Technology,32271,27255,32173,37385
269,IIIT,"Indian Institute of Information Technology(IIIT) Una, Himachal Pradesh",Computer Science and Engineering (Data Science),32482,,30485,34479
