Choice,Composite,Type,InstCode,Institute,BranchCode,Branch,PwDseat,Reach,OBC-PwD_close,Gen-PwD_close
121,80.5,NIT,203,Maulana Azad National Institute of Technology Bhopal,4111,Electrical Engineering,Y,Good,570,1175
122,80.5,NIT,203,Maulana Azad National Institute of Technology Bhopal,412X,Energy and Electrical Vehicle Engineering,-,Out,,
123,80.38,GFTI,422,"Punjab Engineering College, Chandigarh",411H,Electronics Engineering (VLSI Design and Technology),Y,No-data,,
124,80.25,NIT,230,"Visvesvaraya National Institute of Technology, Nagpur",4125,Mechanical Engineering,Y,Good,487,978
125,80.25,IIIT,308,"Indian Institute of Information Technology(IIIT), Vadodara, Gujrat",4124,Mathematics and Computing,Y,No-data,,
126,80.0,IIIT,310,"Indian Institute of Information Technology, Design & Manufacturing, Kancheepuram",521Q,B.Tech. in Electronics and Communication Engineering and M.Tech. in Communication Systems,Y,SAFE,1165,2109
127,80.0,IIIT,310,"Indian Institute of Information Technology, Design & Manufacturing, Kancheepuram",4114,Electronics and Communication Engineering,Y,Good,494,874
128,80.0,NIT,214,National Institute of Technology Patna,4188,Artificial Intelligence and Data Science,Y,Out,,638
129,80.0,IIIT,316,Indian Institute of Information Technology(IIIT) Dharwad,4110,Computer Science and Engineering,Y,SAFE,1094,1314
130,79.88,NIT,220,"National Institute of Technology, Kurukshetra",4111,Electrical Engineering,Y,Good,547,588
131,79.88,NIT,220,"National Institute of Technology, Kurukshetra",5217,Electrical Engineering,Y,Out,,373
132,79.75,GFTI,402,"Birla Institute of Technology, Mesra, Ranchi",410W,Computer Science and Engineering (Artificial Intelligence and Machine Learning),Y,No-data,,
133,79.62,NIT,202,Malaviya National Institute of Technology Jaipur,4125,Mechanical Engineering,Y,Borderline,,1006
134,79.5,NIT,223,"National Institute of Technology, Rourkela",5258,Ceramic Engineering and M.Tech Industrial Ceramic,-,Out,,
135,79.5,NIT,223,"National Institute of Technology, Rourkela",4155,Industrial Design,-,Out,,
136,79.5,NIT,203,Maulana Azad National Institute of Technology Bhopal,413N,Electrical Engineering with E Mobility,-,No-data,,
137,79.38,NIT,228,"National Institute of Technology, Warangal",4107,Chemical Engineering,Y,Reach,,811
138,79.38,NIT,228,"National Institute of Technology, Warangal",5210,Chemical Engineering,Y,Out,,
139,79.38,GFTI,422,"Punjab Engineering College, Chandigarh",4114,Electronics and Communication Engineering,Y,No-data,,
140,79.38,IIIT,318,Indian Institute of Information Technology(IIIT) Kottayam,4110,Computer Science and Engineering,Y,SAFE,1262,2375
141,79.38,IIIT,318,Indian Institute of Information Technology(IIIT) Kottayam,4195,Computer Science and Engineering with specialization in Cyber Security,Y,SAFE,983,609
142,79.25,NIT,219,"National Institute of Technology, Jamshedpur",4111,Electrical Engineering,Y,Good,539,275
143,79.0,NIT,204,Motilal Nehru National Institute of Technology Allahabad,4125,Mechanical Engineering,Y,Borderline,403,854
144,79.0,NIT,214,National Institute of Technology Patna,520O,Mathematics and Computing Technology,-,Out,,
145,78.88,NIT,206,National Institute of Technology Calicut,4145,Production Engineering,Y,SAFE,1002,1704
146,78.75,NIT,226,"National Institute of Technology, Tiruchirappalli",4107,Chemical Engineering,Y,Out,,196
147,78.75,GFTI,402,"Birla Institute of Technology, Mesra, Ranchi",5511,Quantitative Economics & Data Science,Y,Out,,
148,78.75,IIIT,314,Indian Institute of Information Technology Tiruchirappalli,4110,Computer Science and Engineering,Y,Good,657,973
149,78.62,NIT,224,"National Institute of Technology, Silchar",4111,Electrical Engineering,Y,Good,769,1698
150,78.38,NIT,229,"Sardar Vallabhbhai National Institute of Technology, Surat",4125,Mechanical Engineering,Y,SAFE,814,1278
151,78.12,NIT,211,"National Institute of Technology Karnataka, Surathkal",4107,Chemical Engineering,Y,Good,495,336
