Priority,Tier,Type,Institute,BranchCode,Branch,Reach
230,GOOD,NIT,"Indian Institute of Engineering Science and Technology, Shibpur",5503,Chemistry,No-data
231,GOOD,NIT,"Indian Institute of Engineering Science and Technology, Shibpur",5507,Physics,No-data
232,GOOD,IIIT,"Pt. Dwarka Prasad Mishra Indian Institute of Information Technology, Design & Manufacture Jabalpur",4176,Smart Manufacturing,SAFE
233,GOOD,NIT,National Institute of Technology Durgapur,5503,Chemistry,Out
234,GOOD,GFTI,"Punjab Engineering College, Chandigarh",4125,Mechanical Engineering,No-data
235,GOOD,NIT,Maulana Azad National Institute of Technology Bhopal,522S,B. Tech. and M. Tech. in Engineering and Computational Mechanics (Dual Degree),Out
236,GOOD,IIIT,"Indian Institute of Information Technology, Design & Manufacturing, Kancheepuram",413C,Design Engineering,SAFE
237,GOOD,IIIT,"Indian Institute of Information Technology, Design & Manufacturing, Kancheepuram",4176,Smart Manufacturing,SAFE
238,GOOD,GFTI,"Punjab Engineering College, Chandigarh",4136,Production and Industrial Engineering,No-data
239,GOOD,IIIT,Indian Institute of Information Technology (IIIT) Pune,413W,Cyber Security,No-data
240,GOOD,GFTI,"Punjab Engineering College, Chandigarh",4109,Civil Engineering,No-data
241,GOOD,GFTI,University of Hyderabad,5313,Materials Engineering,SAFE
242,GOOD,IIIT,Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,5B01,Integrated B. Tech.(IT) and M. Tech (IT),Reach
243,GOOD,IIIT,Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,5C01,Integrated B. Tech.(IT) and MBA,Good
244,GOOD,IIIT,Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,411M,Mathematics and Scientific Computing,Good
245,GOOD,GFTI,"Punjab Engineering College, Chandigarh",4101,Aerospace Engineering,No-data
246,GOOD,GFTI,"Punjab Engineering College, Chandigarh",4127,Metallurgical and Materials Engineering,No-data
247,GOOD,IIIT,"Indian Institute of Information Technology, Design & Manufacturing, Kancheepuram",4117,Engineering Physics,Out
248,Safety-tail,NIT,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",4110,Computer Science and Engineering,Out
249,Safety-tail,NIT,National Institute of Technology Delhi,4110,Computer Science and Engineering,Out
250,Safety-tail,NIT,National Institute of Technology Goa,4110,Computer Science and Engineering,Out
251,Safety-tail,NIT,National Institute of Technology Hamirpur,4110,Computer Science and Engineering,Out
252,Safety-tail,NIT,National Institute of Technology Hamirpur,5216,Computer Science and Engineering,Reach
253,Safety-tail,NIT,National Institute of Technology Puducherry,4110,Computer Science and Engineering,Out
254,Safety-tail,NIT,National Institute of Technology Raipur,4110,Computer Science and Engineering,Out
255,Safety-tail,NIT,"National Institute of Technology, Andhra Pradesh",4110,Computer Science and Engineering,Out
256,Safety-tail,NIT,"National Institute of Technology, Srinagar",4110,Computer Science and Engineering,Good
257,Safety-tail,NIT,"National Institute of Technology, Uttarakhand",4110,Computer Science and Engineering,Out
258,Safety-tail,IIIT,INDIAN INSTITUTE OF INFORMATION TECHNOLOGY SENAPATI MANIPUR,4110,Computer Science and Engineering,Out
259,Safety-tail,IIIT,INDIAN INSTITUTE OF INFORMATION TECHNOLOGY SENAPATI MANIPUR,4195,Computer Science and Engineering with specialization in Cyber Security,Out
260,Safety-tail,IIIT,INDIAN INSTITUTE OF INFORMATION TECHNOLOGY SENAPATI MANIPUR,413H,Computer Science and Engineering with specialization in Quantum Technologies,Out
261,Safety-tail,IIIT,Indian Institute of Information Technology (IIIT) Ranchi,4110,Computer Science and Engineering,SAFE
262,Safety-tail,IIIT,Indian Institute of Information Technology Bhopal,4110,Computer Science and Engineering,SAFE
263,Safety-tail,IIIT,Indian Institute of Information Technology Bhopal,411Y,Computer Science and Engineering (Cyber Physical System),SAFE
264,Safety-tail,IIIT,Indian Institute of Information Technology Bhopal,410J,Computer Science and Engineering (Cyber Security),SAFE
265,Safety-tail,IIIT,"Indian Institute of Information Technology Design & Manufacturing Kurnool, Andhra Pradesh",4110,Computer Science and Engineering,Good
266,Safety-tail,IIIT,"Indian Institute of Information Technology Design & Manufacturing Kurnool, Andhra Pradesh",5216,Computer Science and Engineering,Good
267,Safety-tail,IIIT,Indian Institute of Information Technology Surat,4110,Computer Science and Engineering,Good
268,Safety-tail,IIIT,Indian Institute of Information Technology Surat,410J,Computer Science and Engineering (Cyber Security),Reach
269,Safety-tail,IIIT,Indian Institute of Information Technology Tiruchirappalli,4110,Computer Science and Engineering,Good
270,Safety-tail,IIIT,"Indian Institute of Information Technology(IIIT) Kilohrad, Sonepat, Haryana",4110,Computer Science and Engineering,SAFE
